Player,Age,Team,Position,Games_played,Free_Throws,Total_Rebounds,Assists,Steals,Blocks,Fouls,Points
Joel Embiid,29.0,PHI,C,39.0,10.2,11.0,5.6,1.2,1.7,2.9,34.7
Luka DonÄiÄ,24.0,DAL,PG,70.0,6.8,9.2,9.8,1.4,0.5,2.1,33.9
Giannis Antetokounmpo,29.0,MIL,PF,73.0,7.0,11.5,6.5,1.2,1.1,2.9,30.4
Shai Gilgeous-Alexander,25.0,OKC,PG,75.0,7.6,5.5,6.2,2.0,0.9,2.5,30.1
Jalen Brunson,27.0,NYK,PG,77.0,5.5,3.6,6.7,0.9,0.2,1.9,28.7
Devin Booker,27.0,PHO,PG,68.0,6.0,4.5,6.9,0.9,0.4,3.0,27.1
Kevin Durant,35.0,PHO,PF,75.0,4.8,6.6,5.0,0.9,1.2,1.8,27.1
Jayson Tatum,25.0,BOS,PF,74.0,5.6,8.1,4.9,1.0,0.6,2.0,26.9
De'Aaron Fox,26.0,SAC,PG,74.0,4.2,4.6,5.6,2.0,0.4,2.6,26.6
Donovan Mitchell,27.0,CLE,SG,55.0,5.0,5.1,6.1,1.8,0.5,2.1,26.6
Stephen Curry,35.0,GSW,PG,74.0,4.0,4.5,5.1,0.7,0.4,1.6,26.4
Nikola JokiÄ,28.0,DEN,C,79.0,4.5,12.4,9.0,1.4,0.9,2.5,26.4
Anthony Edwards,22.0,MIN,SG,79.0,5.4,5.4,5.1,1.3,0.5,1.8,25.9
Tyrese Maxey,23.0,PHI,PG,70.0,4.7,3.7,6.2,1.0,0.5,2.2,25.9
LeBron James,39.0,LAL,PF,71.0,4.3,7.3,8.3,1.3,0.5,1.1,25.7
Trae Young,25.0,ATL,PG,54.0,6.4,2.8,10.8,1.3,0.2,2.0,25.7
Kyrie Irving,31.0,DAL,SG,58.0,3.3,5.0,5.2,1.3,0.5,1.9,25.6
Ja Morant,24.0,MEM,PG,9.0,5.8,5.6,8.1,0.8,0.6,2.1,25.1
Anthony Davis,30.0,LAL,C,76.0,5.5,12.6,3.5,1.2,2.3,2.3,24.7
Damian Lillard,33.0,MIL,PG,73.0,6.5,4.4,7.0,1.0,0.2,1.8,24.3
DeMar DeRozan,34.0,CHI,SF,79.0,6.6,4.3,5.3,1.1,0.6,2.0,24.0
Julius Randle,29.0,NYK,PF,46.0,5.1,9.2,5.0,0.5,0.3,2.7,24.0
LaMelo Ball,22.0,CHO,PG,22.0,4.1,5.1,8.0,1.8,0.2,3.6,23.9
Desmond Bane,25.0,MEM,SG,42.0,3.3,4.4,5.5,1.0,0.5,2.9,23.7
Kawhi Leonard,32.0,LAC,SF,68.0,3.7,6.1,3.6,1.6,0.9,1.4,23.7
Lauri Markkanen,26.0,UTA,PF,55.0,4.5,8.2,2.0,0.9,0.5,1.8,23.2
Jaylen Brown,27.0,BOS,SF,70.0,3.0,5.5,3.6,1.2,0.5,2.6,23.0
Zion Williamson,23.0,NOP,PF,70.0,5.0,5.8,5.0,1.1,0.7,2.3,22.9
Cade Cunningham,22.0,DET,PG,62.0,3.8,4.3,7.5,0.9,0.4,2.5,22.7
Paolo Banchero,21.0,ORL,PF,80.0,5.1,6.9,5.4,0.9,0.6,1.9,22.6
Paul George,33.0,LAC,PF,74.0,3.6,5.2,3.5,1.5,0.5,2.7,22.6
Anfernee Simons,24.0,POR,SG,46.0,3.5,3.6,5.5,0.5,0.1,2.1,22.6
Jaren Jackson Jr.,24.0,MEM,C,66.0,5.1,5.5,2.3,1.2,1.6,3.6,22.5
Dejounte Murray,27.0,ATL,SG,78.0,2.7,5.3,6.4,1.4,0.3,1.8,22.5
Cam Thomas,22.0,BRK,SG,66.0,4.3,3.2,2.9,0.7,0.2,2.1,22.5
Kyle Kuzma,28.0,WAS,PF,70.0,2.7,6.6,4.2,0.5,0.7,2.2,22.2
Karl-Anthony Towns,28.0,MIN,PF,62.0,4.1,8.3,3.0,0.7,0.7,3.3,21.8
Pascal Siakam,29.0,2TM,PF,80.0,3.6,7.1,4.3,0.8,0.3,2.4,21.7
Pascal Siakam,29.0,TOR,PF,39.0,4.3,6.3,4.9,0.8,0.3,2.2,22.2
Pascal Siakam,29.0,IND,PF,41.0,3.0,7.8,3.7,0.8,0.4,2.6,21.3
Victor Wembanyama,20.0,SAS,C,71.0,4.1,10.6,3.9,1.2,3.6,2.2,21.4
Jamal Murray,26.0,DEN,PG,59.0,2.7,4.1,6.5,1.0,0.7,1.8,21.2
Alperen Sengun,21.0,HOU,C,63.0,3.9,9.3,5.0,1.2,0.7,3.3,21.1
Miles Bridges,25.0,CHO,SF,69.0,2.5,7.3,3.3,0.9,0.5,1.7,21.0
Jerami Grant,29.0,POR,PF,54.0,4.7,3.5,2.8,0.8,0.6,2.2,21.0
Jimmy Butler,34.0,MIA,PF,60.0,6.6,5.3,5.0,1.3,0.3,1.1,20.8
